X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
267;Number patches;+;no;13_96;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Oligosita spp.;terrestrial;OLIGOS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.442520952;28;-0.475361301;-0.442520952;-0.475361301;0.04
268;SHDI;+;no;13_160;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Oligosita spp.;terrestrial;OLIGOS;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.264249383;28;0.270671313;0.264249383;0.270671313;0.04
269;Core area index;-;si;13_41;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Opius barrioni;terrestrial;OPIBAR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.15002271;28;-0.151163669;0.15002271;0.151163669;0.04
270;Number patches;+;no;13_58;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Opius barrioni;terrestrial;OPIBAR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.24999537;28;-0.255407873;-0.24999537;-0.255407873;0.04
271;SHDI;+;no;13_162;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Opius barrioni;terrestrial;OPIBAR;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.015728032;28;0.015729329;0.015728032;0.015729329;0.04
272;Core area index;-;si;13_37;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Orius tantillus;terrestrial;ORITAN;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.177661284;28;-0.179566707;0.177661284;0.179566707;0.04
273;Number patches;+;no;13_84;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Orius tantillus;terrestrial;ORITAN;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.095587473;28;-0.095880206;-0.095587473;-0.095880206;0.04
274;SHDI;+;no;13_124;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Orius tantillus;terrestrial;ORITAN;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.0254924;28;-0.025497924;-0.0254924;-0.025497924;0.04
275;Core area index;-;si;13_31;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Paraphylax spec. 2;terrestrial;PARAPH;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.1775783;28;-0.17948102;0.1775783;0.17948102;0.04
276;Number patches;+;no;13_88;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Paraphylax spec. 2;terrestrial;PARAPH;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.233436186;28;-0.237820626;-0.233436186;-0.237820626;0.04
277;SHDI;+;no;13_133;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Paraphylax spec. 2;terrestrial;PARAPH;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.025884458;28;0.025890241;0.025884458;0.025890241;0.04
278;Core area index;-;si;13_8;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Pediobus spec. 1;terrestrial;PEDIOB;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.067177343;28;0.06727867;-0.067177343;-0.06727867;0.04
279;Number patches;+;no;13_90;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Pediobus spec. 1;terrestrial;PEDIOB;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.218872349;28;-0.222471412;-0.218872349;-0.222471412;0.04
280;SHDI;+;no;13_150;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Pediobus spec. 1;terrestrial;PEDIOB;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.133630894;28;0.134434952;0.133630894;0.134434952;0.04
281;Core area index;-;si;13_16;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Platygaster spec. 1;terrestrial;PLATYG;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.16108843;28;0.162503922;-0.16108843;-0.162503922;0.04
282;Number patches;+;no;13_91;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Platygaster spec. 1;terrestrial;PLATYG;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.196281048;28;-0.198861625;-0.196281048;-0.198861625;0.04
283;SHDI;+;no;13_151;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Platygaster spec. 1;terrestrial;PLATYG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.316109873;28;0.327319163;0.316109873;0.327319163;0.04
284;Core area index;-;si;13_13;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Recilia dorsalis;terrestrial;RECDOR;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.219662954;28;0.223301948;-0.219662954;-0.223301948;0.04
285;Number patches;+;no;13_92;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Recilia dorsalis;terrestrial;RECDOR;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.220096885;28;0.223757924;0.220096885;0.223757924;0.04
286;SHDI;+;no;13_153;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Recilia dorsalis;terrestrial;RECDOR;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.093736012;28;0.094012004;0.093736012;0.094012004;0.04
287;Core area index;-;si;13_54;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Tetrastichus spec. 1;terrestrial;TETRAS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.132776456;28;-0.13356508;0.132776456;0.13356508;0.04
288;Number patches;+;no;13_72;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Tetrastichus spec. 1;terrestrial;TETRAS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.21326759;28;-0.216592154;-0.21326759;-0.216592154;0.04
289;SHDI;+;no;13_147;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Tetrastichus spec. 1;terrestrial;TETRAS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.043941503;28;0.043969817;0.043941503;0.043969817;0.04
290;Core area index;-;si;13_46;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichomalopsis apanteloctena;terrestrial;TRIAPA;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.098285385;28;-0.098603712;0.098285385;0.098603712;0.04
291;Number patches;+;no;13_99;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichomalopsis apanteloctena;terrestrial;TRIAPA;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.308449575;28;-0.318831058;-0.308449575;-0.318831058;0.04
292;SHDI;+;no;13_137;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichomalopsis apanteloctena;terrestrial;TRIAPA;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.020025405;28;-0.020028082;-0.020025405;-0.020028082;0.04
293;Core area index;-;si;13_47;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma chilonis;terrestrial;TRICHI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.311022903;28;0.321677462;-0.311022903;-0.321677462;0.04
294;Number patches;+;no;13_100;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma chilonis;terrestrial;TRICHI;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.072942786;28;-0.073072568;-0.072942786;-0.073072568;0.04
295;SHDI;+;no;13_165;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma chilonis;terrestrial;TRICHI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.075226985;28;-0.075369374;-0.075226985;-0.075369374;0.04
296;Core area index;-;si;13_48;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma spp.;terrestrial;TRICHO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.350607877;28;0.36613666;-0.350607877;-0.36613666;0.04
297;Number patches;+;no;13_101;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma spp.;terrestrial;TRICHO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.363520583;28;-0.380936609;-0.363520583;-0.380936609;0.04
298;SHDI;+;no;13_128;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Trichogramma spp.;terrestrial;TRICHO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.214908046;28;0.21831141;0.214908046;0.21831141;0.04
299;Core area index;-;si;13_49;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Tytthus chinensis;terrestrial;TYTCHI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.169863035;28;-0.171525626;0.169863035;0.171525626;0.04
300;Number patches;+;no;13_98;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Tytthus chinensis;terrestrial;TYTCHI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.055828615;28;-0.055886727;-0.055828615;-0.055886727;0.04
301;SHDI;+;no;13_129;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Tytthus chinensis;terrestrial;TYTCHI;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.309796735;28;0.320320549;0.309796735;0.320320549;0.04
302;CropArea100;-;si;26_3;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.5300142;22.92119826;NA;NA;NA;NA;0.06228001;58;0.062360722;-0.06228001;-0.062360722;0.018181818
303;CropArea500;-;si;26_14;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.4702847;22.94169872;NA;NA;NA;NA;0.124754704;58;0.125408032;-0.124754704;-0.125408032;0.018181818
304;CropArea750;-;si;26_27;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.4785154;22.95492017;NA;NA;NA;NA;0.149767857;58;0.150902958;-0.149767857;-0.150902958;0.018181818
305;CropCompositionalHeterogeneity;+;no;26_37;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.4680915;22.87274939;NA;NA;NA;NA;-0.080362701;58;-0.080536373;-0.080362701;-0.080536373;0.018181818
306;FieldMarginLength;+;no;26_57;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.4862823;22.89382263;NA;NA;NA;NA;0.370836794;58;0.389392969;0.370836794;0.389392969;0.018181818
307;OpenWater500;+;no;26_61;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;NA;NA;NA;NA;NA;NA;0.033786309;58;0.033799174;0.033786309;0.033799174;0.018181818
308;OpenWater750;+;no;26_76;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Hymenoptera;NA;NA;BeWaAbund;easy;table;NA;108.1634174;22.64016571;NA;NA;NA;NA;0.096028284;58;0.096325101;0.096028284;0.096325101;0.018181818
309;CropArea100;-;si;26_5;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.065198331;58;-0.06529095;0.065198331;0.06529095;0.018181818
310;CropArea500;-;si;26_21;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;108.5300142;22.92119826;NA;NA;NA;NA;-0.048694711;58;-0.048733254;0.048694711;0.048733254;0.018181818
311;CropArea750;-;si;26_29;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.021319543;58;-0.021322774;0.021319543;0.021322774;0.018181818
312;CropCompositionalHeterogeneity;+;no;26_42;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;108.1441942;22.57172556;NA;NA;NA;NA;0.003370018;58;0.003370031;0.003370018;0.003370031;0.018181818
313;FieldMarginLength;+;no;26_53;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;108.2273207;22.63498357;NA;NA;NA;NA;0.230620195;58;0.234844401;0.230620195;0.234844401;0.018181818
314;OpenWater500;+;no;26_65;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;108.5001181;22.91309866;NA;NA;NA;NA;-0.003082168;58;-0.003082178;-0.003082168;-0.003082178;0.018181818
315;OpenWater750;+;no;26_77;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Hymenoptera;NA;NA;BeWaSpRich;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.003457447;58;-0.003457461;-0.003457447;-0.003457461;0.018181818
316;CropArea100;-;si;26_10;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;108.5287119;22.70466881;NA;NA;NA;NA;-0.08967246;58;-0.089913983;0.08967246;0.089913983;0.018181818
317;CropArea500;-;si;26_17;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;108.5280058;22.91267085;NA;NA;NA;NA;-0.097180382;58;-0.097488052;0.097180382;0.097488052;0.018181818
318;CropArea750;-;si;26_33;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;108.2273207;22.63498357;NA;NA;NA;NA;-0.060813224;58;-0.060888358;0.060813224;0.060888358;0.018181818
319;CropCompositionalHeterogeneity;+;no;26_45;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;108.1634174;22.64016571;NA;NA;NA;NA;0.00621688;58;0.00621696;0.00621688;0.00621696;0.018181818
320;FieldMarginLength;+;no;26_51;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;NA;NA;NA;NA;NA;NA;0.203747142;58;0.206638896;0.203747142;0.206638896;0.018181818
321;OpenWater500;+;no;26_71;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;108.5383058;22.91019894;NA;NA;NA;NA;0.010251318;58;0.010251677;0.010251318;0.010251677;0.018181818
322;OpenWater750;+;no;26_81;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Hymenoptera;NA;NA;BeWaSWInd;easy;table;NA;NA;NA;NA;NA;NA;NA;0.036714861;58;0.036731371;0.036714861;0.036731371;0.018181818
323;forest_cover;+;no;28_1;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_overall;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.29546842;10;-0.304547233;-0.29546842;-0.304547233;0.142857143
324;forest_cover;+;no;28_4;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_non_endemic;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.264135272;10;-0.27054864;-0.264135272;-0.27054864;0.142857143
325;forest_cover;+;no;28_5;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_endemic;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.21821789;10;-0.221784127;-0.21821789;-0.221784127;0.142857143
326;forest_cover;+;no;28_2;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_unknown;easy;table;NA;NA;NA;NA;NA;NA;NA;0.212121212;10;0.215391458;0.212121212;0.215391458;0.142857143
327;forest_cover;+;no;28_3;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_exotic;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.515151515;10;-0.569717141;-0.515151515;-0.569717141;0.142857143
328;understory_vegetation_cover;+;no;28_11;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_non_endemic;easy;table;NA;NA;NA;NA;NA;NA;NA;-0.182208971;10;-0.184266569;-0.182208971;-0.184266569;0.142857143
329;understory_vegetation_cover;+;no;28_12;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_unknown;easy;table;NA;NA;NA;NA;NA;NA;NA;0.07949737;10;0.079665478;0.07949737;0.079665478;0.142857143
330;understory_vegetation_cover;+;no;28_13;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_overall;easy;table;NA;NA;NA;NA;NA;NA;NA;0.087205357;10;0.08742743;0.087205357;0.08742743;0.142857143
331;understory_vegetation_cover;+;no;28_14;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_exotic;easy;table;NA;NA;NA;NA;NA;NA;NA;0.048724195;10;0.048762808;0.048724195;0.048762808;0.142857143
332;understory_vegetation_cover;+;no;28_15;composition;semi-natural areas;madagascar;Rakotomalala et al. - 2023 -;10.1007/s10531-021-02314-4;richness;Arthropod;Hymenoptera;Formicidae;terrestrial;richness_endemic;easy;table;NA;NA;NA;NA;NA;NA;NA;0.616124887;10;0.718734622;0.616124887;0.718734622;0.142857143
333;Distances from native vegetation (m);-;si;31_1;configuration;proximity;brazil;Silva et al. - 2019 -;10.1590/1519-6984.194760;abu_den;Arthropod;Hymenoptera;NA;terrestrial;Individuals;easy;graph;NA;NA;NA;NA;NA;NA;NA;-0.374921924;16;-0.394137831;0.374921924;0.394137831;0.076923077
334;CropArea100;-;si;26_4;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.4680915;22.87274939;NA;NA;NA;NA;0.166619289;56;0.168187387;-0.166619289;-0.168187387;0.018867925
335;CropArea500;-;si;26_13;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.1441942;22.57172556;NA;NA;NA;NA;0.214044817;56;0.217406558;-0.214044817;-0.217406558;0.018867925
336;CropArea750;-;si;26_28;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.5383058;22.91019894;NA;NA;NA;NA;0.195537198;56;0.198088087;-0.195537198;-0.198088087;0.018867925
337;CropCompositionalHeterogeneity;+;no;26_38;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.5139814;22.91507677;NA;NA;NA;NA;-0.078316642;56;-0.078477352;-0.078316642;-0.078477352;0.018867925
338;FieldMarginLength;+;no;26_58;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.4680915;22.87274939;NA;NA;NA;NA;0.301605415;56;0.311284733;0.301605415;0.311284733;0.018867925
339;OpenWater500;+;no;26_62;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.4595098;22.70067997;NA;NA;NA;NA;-0.018898348;56;-0.018900598;-0.018898348;-0.018900598;0.018867925
340;OpenWater750;+;no;26_73;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Lepidoptera;NA;terrestrial;BuAbund;easy;table;NA;108.1549611;22.64637913;NA;NA;NA;NA;0.100365907;56;0.100704964;0.100365907;0.100704964;0.018867925
341;CropArea100;-;si;26_6;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.5001181;22.91309866;NA;NA;NA;NA;0.17273466;56;0.174484063;-0.17273466;-0.174484063;0.018867925
342;CropArea500;-;si;26_22;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.5203031;22.90061373;NA;NA;NA;NA;0.272535888;56;0.279601142;-0.272535888;-0.279601142;0.018867925
343;CropArea750;-;si;26_30;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.4595098;22.70067997;NA;NA;NA;NA;0.207069386;56;0.210107493;-0.207069386;-0.210107493;0.018867925
344;CropCompositionalHeterogeneity;+;no;26_43;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.4862823;22.89382263;NA;NA;NA;NA;-0.067788897;56;-0.067893022;-0.067788897;-0.067893022;0.018867925
345;FieldMarginLength;+;no;26_54;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.4785154;22.95492017;NA;NA;NA;NA;0.261576968;56;0.267800452;0.261576968;0.267800452;0.018867925
346;OpenWater500;+;no;26_66;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.5139814;22.91507677;NA;NA;NA;NA;0.019855706;56;0.019858316;0.019855706;0.019858316;0.018867925
347;OpenWater750;+;no;26_78;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Lepidoptera;NA;terrestrial;BuSpRich;easy;table;NA;108.5300142;22.92119826;NA;NA;NA;NA;0.121097759;56;0.121694975;0.121097759;0.121694975;0.018867925
348;CropArea100;-;si;26_11;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.4702847;22.94169872;NA;NA;NA;NA;0.220989761;56;0.224696449;-0.220989761;-0.224696449;0.018867925
349;CropArea500;-;si;26_18;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.5300142;22.92119826;NA;NA;NA;NA;0.326785484;56;0.339225171;-0.326785484;-0.339225171;0.018867925
350;CropArea750;-;si;26_34;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.5210335;22.87704892;NA;NA;NA;NA;0.262783931;56;0.269096504;-0.262783931;-0.269096504;0.018867925
351;CropCompositionalHeterogeneity;+;no;26_46;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.1549611;22.64637913;NA;NA;NA;NA;-0.024188493;56;-0.024193212;-0.024188493;-0.024193212;0.018867925
352;FieldMarginLength;+;no;26_52;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.5215047;22.88973496;NA;NA;NA;NA;0.330990412;56;0.343940111;0.330990412;0.343940111;0.018867925
353;OpenWater500;+;no;26_72;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Lepidoptera;NA;terrestrial;BuSWInd;easy;table;NA;108.1634174;22.64016571;NA;NA;NA;NA;0.027830049;56;0.027837237;0.027830049;0.027837237;0.018867925
